City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saint-dizier,48.4167,5.0833,19.78,88,0,2.91,FR,1686109186
1,port-aux-francais,-49.35,70.2167,2.81,85,100,7.79,TF,1686193750
2,eldorado,-23.7869,-54.2836,18.16,77,0,1.83,BR,1686132880
3,saint-flour,45.0833,3.0,12.12,94,86,1.08,FR,1686110517
4,manokwari,-0.8667,134.0833,25.49,80,57,1.54,ID,1686171634
5,edinburgh of the seven seas,-37.0676,-12.3116,15.14,82,12,12.19,SH,1686124633
6,invercargill,-46.4,168.35,4.54,91,88,2.59,NZ,1686169469
7,balykshi,47.0667,51.8667,18.0,34,0,4.0,KZ,1686184691
8,waitangi,-43.9535,-176.5597,10.46,89,100,1.81,NZ,1686251756
9,puerto natales,-51.7236,-72.4875,3.25,75,75,5.66,CL,1686142228
10,longyearbyen,78.2186,15.6401,3.91,70,0,3.6,SJ,0
11,puerto ayora,-0.7393,-90.3518,29.98,88,91,3.13,EC,1686139081
12,chunskiy,56.0815,99.6342,15.34,79,14,0.76,RU,1686170246
13,loikaw,19.6742,97.2094,21.18,98,100,1.29,MM,1686178307
14,vila franca do campo,37.7167,-25.4333,19.23,80,53,8.15,PT,1686118814
15,bilibino,68.0546,166.4372,13.22,37,13,1.93,RU,0
16,yinchuan,38.4681,106.2731,21.41,24,2,1.92,CN,1686173463
17,albany,42.6001,-73.9662,17.58,57,100,3.62,US,1686129529
18,farafangana,-22.8167,47.8333,21.19,89,22,0.8,MG,1686108250
19,la'ie,21.6477,-157.9253,28.98,79,91,1.34,US,1686152905
20,xique xique,-10.8217,-42.7311,27.69,53,46,2.15,BR,1686128674
21,hirara,24.8,125.2833,25.92,94,20,4.12,JP,1686170946
22,atafu village,-8.5421,-172.5159,28.54,72,14,3.29,TK,1686246008
23,kingsville,27.5159,-97.8561,33.9,44,0,3.13,US,1686137746
24,al ghayzah,16.2079,52.176,28.13,82,98,2.79,YE,1686103108
